Country,Flag,UpdatedFlag
Afghanistan,111-afghanistan.png,Afghanistan.png
Albania,099-albania.png,Albania.png
Algeria,144-algeria.png,Algeria.png
Andorra,045-andorra.png,Andorra.png
Angola,117-angola.png,Angola.png
Antigua and Barbuda,075-antigua-and-barbuda.png,Antigua and Barbuda.png
Argentina,198-argentina.png,Argentina.png
Armenia,108-armenia.png,Armenia.png
Australia,234-australia.png,Australia.png
Austria,003-austria.png,Austria.png
Azerbaijan,141-azerbaijan.png,Azerbaijan.png
Bahamas,120-bahamas.png,Bahamas.png
Bahrain,138-bahrain.png,Bahrain.png
Bangladesh,147-bangladesh.png,Bangladesh.png
Barbados,084-barbados.png,Barbados.png
Belarus,135-belarus.png,Belarus.png
Belgium,165-belgium.png,Belgium.png
Belize,078-belize.png,Belize.png
Benin,060-benin.png,Benin.png
Bhutan,040-bhutan.png,Bhutan.png
Bolivia,150-bolivia.png,Bolivia.png
Bosnia,132-bosnia-and-herzegovina.png,Bosnia.png
Botswana,126-botswana.png,Botswana.png
Brazil,255-brazil.png,Brazil.png
Brunei,119-brunei.png,Brunei.png
Bulgaria,168-bulgaria.png,Bulgaria.png
Burkina Faso,090-burkina-faso.png,Burkina Faso.png
Burma,058-myanmar.png,Burma.png
Burundi,057-burundi.png,Burundi.png
Cabo Verde,blank.png,Cabo Verde.png
Cambodia,159-cambodia.png,Cambodia.png
Cameroon,105-cameroon.png,Cameroon.png
Canada,243-canada.png,Canada.png
Central African Republic,036-central-african-republic.png,Central African Republic.png
Chad,066-chad.png,Chad.png
Chile,131-chile.png,Chile.png
China,034-china.png,China.png
Colombia,177-colombia.png,Colombia.png
Comoros,029-comoros.png,Comoros.png
Congo,157-republic-of-the-congo.png,Congo.png
Costa Rica,156-costa-rica.png,Costa Rica.png
Cote d'Ivoire,161-ivory-coast.png,Cote d'Ivoire.png
Croatia,164-croatia.png,Croatia.png
Cuba,153-cuba.png,Cuba.png
Cyprus,002-cyprus.png,Cyprus.png
Czechia,149-czech-republic.png,Czechia.png
DRC,249-democratic-republic-of-congo.png,DRC.png
Denmark,174-denmark.png,Denmark.png
Diamond Princess,blank.png,Diamond Princess.png
Djibouti,068-djibouti.png,Djibouti.png
Dominica,186-dominica.png,Dominica.png
Dominican Republic,047-dominican-republic.png,Dominican Republic.png
Ecuador,104-ecuador.png,Ecuador.png
Egypt,158-egypt.png,Egypt.png
El Salvador,015-el-salvador.png,El Salvador.png
Equatorial Guinea,189-equatorial-guinea.png,Equatorial Guinea.png
Eritrea,065-eritrea.png,Eritrea.png
Estonia,008-estonia.png,Estonia.png
Ethiopia,005-ethiopia.png,Ethiopia.png
Fiji,137-fiji.png,Fiji.png
Finland,125-finland.png,Finland.png
France,195-france.png,France.png
Gabon,059-gabon.png,Gabon.png
Gambia,146-gambia.png,Gambia.png
Georgia,256-georgia.png,Georgia.png
Germany,162-germany.png,Germany.png
Ghana,053-ghana.png,Ghana.png
Greece,170-greece.png,Greece.png
Grenada,210-grenada.png,Grenada.png
Guatemala,098-guatemala.png,Guatemala.png
Guinea,110-guinea.png,Guinea.png
