State,Statecode,District,Districtcode,lastupdated,Source,Zone,NewDistrict
Andaman and Nicobar Islands,AN,Nicobars,AN_Nicobars,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Nicobar Islands
Andaman and Nicobar Islands,AN,North and Middle Andaman,AN_North and Middle Andaman,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,North and Middle Andaman
Andaman and Nicobar Islands,AN,South Andaman,AN_South Andaman,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Red,South Andaman
Andhra Pradesh,AP,Anantapur,AP_Anantapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,Anantapur
Andhra Pradesh,AP,Chittoor,AP_Chittoor,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Red,Chittoor
Andhra Pradesh,AP,East Godavari,AP_East Godavari,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,East Godavari
Andhra Pradesh,AP,Guntur,AP_Guntur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Red,Guntur
Andhra Pradesh,AP,Krishna,AP_Krishna,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Red,Krishna
Andhra Pradesh,AP,Kurnool,AP_Kurnool,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Red,Kurnool
Andhra Pradesh,AP,Prakasam,AP_Prakasam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,Prakasam
Andhra Pradesh,AP,S.P.S. Nellore,AP_S.P.S. Nellore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Red,Nellore
Andhra Pradesh,AP,Srikakulam,AP_Srikakulam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,Srikakulam
Andhra Pradesh,AP,Visakhapatnam,AP_Visakhapatnam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,Visakhapatnam
Andhra Pradesh,AP,Vizianagaram,AP_Vizianagaram,07/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,Vizianagaram
Andhra Pradesh,AP,West Godavari,AP_West Godavari,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,West Godavari
Andhra Pradesh,AP,Y.S.R. Kadapa,AP_Y.S.R. Kadapa,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Orange,Y.S.R.
Arunachal Pradesh,AR,Anjaw,AR_Anjaw,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Anjaw
Arunachal Pradesh,AR,Changlang,AR_Changlang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Changlang
Arunachal Pradesh,AR,East Kameng,AR_East Kameng,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,East Kameng
Arunachal Pradesh,AR,East Siang,AR_East Siang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,East Siang
Arunachal Pradesh,AR,Kamle,AR_Kamle,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Kamle
Arunachal Pradesh,AR,Kra Daadi,AR_Kra Daadi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Kra Daadi
Arunachal Pradesh,AR,Kurung Kumey,AR_Kurung Kumey,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Kurung Kumey
Arunachal Pradesh,AR,Lepa Rada,AR_Lepa Rada,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Lepa Rada
Arunachal Pradesh,AR,Lohit,AR_Lohit,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Lohit
Arunachal Pradesh,AR,Longding,AR_Longding,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Longding
Arunachal Pradesh,AR,Lower Dibang Valley,AR_Lower Dibang Valley,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Lower Dibang Valley
Arunachal Pradesh,AR,Lower Siang,AR_Lower Siang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Lower Siang
Arunachal Pradesh,AR,Lower Subansiri,AR_Lower Subansiri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Lower Subansiri
Arunachal Pradesh,AR,Namsai,AR_Namsai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Namsai
Arunachal Pradesh,AR,Pakke Kessang,AR_Pakke Kessang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Pakke Kessang
Arunachal Pradesh,AR,Papum Pare,AR_Papum Pare,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Papum Pare
Arunachal Pradesh,AR,Shi Yomi,AR_Shi Yomi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Shi Yomi
Arunachal Pradesh,AR,Siang,AR_Siang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Siang
Arunachal Pradesh,AR,Tawang,AR_Tawang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Tawang
Arunachal Pradesh,AR,Tirap,AR_Tirap,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Green,Tirap
